STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,73,1,2,23,15,1,1,0,0,14,4,0,42,0,1,4,1,2,40,2,1,2,1,0,0,0,2,1,0,0,23,16,23,20,0,0,0,0,0,0,1,3,0,10001,0,0,2007,1493,0,0,33272102,87010454,1,1
1,19,1,30,13,5,3,4,0,0,3,3,0,12,5,2,1,1,2,40,1,1,2,1,20,3,0,1,1,0,0,13,10,13,11,99,99,0,0,0,0,2,3,0,10002,630,0,2007,SR-68,270,0,34093815,85404107,3,1
1,9,1,14,12,13,2,5,0,0,3,2,0,12,7,1,1,1,3,55,1,2,2,1,0,0,1,1,1,0,0,12,16,12,18,99,99,0,0,0,0,1,1,0,10003,2330,0,2007,US-SR53,0,0,33583258,86294685,2,1
1,15,1,1,15,0,2,2,0,1,2,2,0,12,4,2,1,2,2,65,1,1,2,1,20,3,0,1,1,0,0,99,99,15,5,0,0,0,0,0,0,1,2,0,10004,0,2468,2007,US-SR1,7260,0,33511173,85545624,2,1
1,51,1,6,19,35,2,5,0,0,14,3,0,12,5,11,1,2,2,50,1,1,2,1,3,3,0,3,1,0,0,19,35,19,41,99,99,0,0,0,0,1,7,0,10005,2063,0,2007,SR-14,I-65,0,32291980,86243217,2,1
1,41,1,1,4,55,1,2,0,0,4,4,0,1,0,1,5,1,2,40,2,1,2,1,0,0,0,2,1,0,0,99,99,5,6,99,99,0,0,0,0,1,2,1,10006,0,0,2007,1032,1E+20,0,31354977,86135700,1,1
1,49,1,8,6,1,2,2,0,0,3,3,0,12,2,1,1,1,2,55,1,2,2,1,0,0,0,4,1,0,0,6,7,6,12,99,99,0,0,0,0,1,2,0,10007,0,165,2007,SR-68,0,0,34175758,85555218,2,1
1,101,1,8,15,37,2,2,0,1,12,2,0,12,2,1,1,2,2,50,2,1,2,1,0,0,0,1,1,0,0,15,38,15,46,0,0,0,0,0,0,1,2,0,10008,2130,0,2007,US-SR8,0,0,32183619,86221168,2,1
1,103,1,2,16,50,2,7,0,0,3,3,0,12,4,1,1,1,2,55,2,1,2,1,28,3,0,5,1,0,0,99,99,17,15,99,99,0,0,0,0,1,3,0,10009,0,413,2007,SR-36,1E+20,0,34300170,86411897,2,1
1,107,1,3,15,46,2,2,0,1,2,2,0,12,2,1,1,1,2,55,1,2,2,1,0,0,0,1,1,0,0,99,99,99,99,0,0,0,0,0,0,1,4,0,10010,0,234,2007,US-SR6,1E+20,0,33201442,87560241,2,1
